Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Missouri"
"","Sex (SEX)","",""
"LGL-Paralegals And Legal Assistants","11385","2486","8899"
"LGL-Title Examiners, Abstractors, And Searchers","1513","384","1129"
"LGL-Legal Support Workers, All Other","1233","575","658"
"EDU-Postsecondary Teachers","67870","34258","33612"
"EDU-Preschool And Kindergarten Teachers","22560","646","21914"
"EDU-Elementary And Middle School Teachers","98016","19199","78817"
"EDU-Secondary School Teachers","28244","12016","16228"
"EDU-Special Education Teachers","10402","1530","8872"
"EDU-Tutors","8991","3230","5761"
"EDU-Other Teachers And Instructors","26020","8921","17099"
"EDU-Archivists, Curators, And Museum Technicians","2400","738","1662"
"EDU-Librarians And Media Collections Specialists","7786","1361","6425"
"EDU-Library Technicians","2163","873","1290"
"EDU-Teaching Assistants","40964","7865","33099"
"EDU-Other Educational Instruction and Library Workers","4551","1370","3181"
"ENT-Artists And Related Workers","7373","3203","4170"
"ENT-Commercial And Industrial Designers","726","492","234"
"ENT-Fashion Designers","876","160","716"
"ENT-Floral Designers","2362","315","2047"
"ENT-Graphic Designers","9918","3750","6168"
"ENT-Interior Designers","2803","305","2498"
"ENT-Merchandise Displayers And Window Trimmers","365","148","217"
"ENT-Other Designers","10530","5219","5311"
"ENT-Actors","927","483","444"
"ENT-Producers And Directors","3376","1964","1412"
"ENT-Athletes And Sports Competitors","1218","1066","152"
"ENT-Coaches And Scouts","11072","5475","5597"
"ENT-Umpires, Referees, And Other Sports Officials","2289","1658","631"
"ENT-Dancers And Choreographers","476","224","252"
"ENT-Music Directors And Composers","1289","705","584"
"ENT-Musicians And Singers","5068","3290","1778"
"ENT-Disc Jockeys, Except Radio","161","161","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","1204","788","416"
"ENT-Broadcast Announcers And Radio Disc Jockeys","1083","879","204"
"ENT-News Analysts, Reporters, And Journalists","2399","1251","1148"
"ENT-Public Relations Specialists","4292","1448","2844"
"ENT-Editors","8391","3214","5177"
"ENT-Technical Writers","3551","1627","1924"
"ENT-Writers And Authors","9909","3757","6152"
"ENT-Interpreters And Translators","3925","1017","2908"
"ENT-Court Reporters And Simultaneous Captioners","360","47","313"
"ENT-Media And Communication Workers, All Other","584","333","251"
"ENT-Photographers","4766","2331","2435"
"ENT-Television, Video, And Film Camera Operators And Editors","2065","1568","497"
"ENT-Other Media And Communication Equipment Workers","1850","1372","478"
"MED-Chiropractors","1173","851","322"
"MED-Dentists","5915","3428","2487"
"MED-Dietitians And Nutritionists","3127","256","2871"
"MED-Optometrists","843","426","417"
"MED-Pharmacists","7310","2919","4391"
"MED-Physician Assistants","3362","1221","2141"
"MED-Podiatrists","381","266","115"
"MED-Occupational Therapists","4410","210","4200"
"MED-Physical Therapists","8769","2072","6697"
"MED-Radiation Therapists","526","190","336"
"MED-Recreational Therapists","457","150","307"
"MED-Respiratory Therapists","1645","573","1072"
"MED-Speech-Language Pathologists","5116","211","4905"
"MED-Other Therapists","5895","1171","4724"
"MED-Veterinarians","2025","508","1517"
"MED-Registered Nurses","97516","8024","89492"
"MED-Nurse Anesthetists","736","197","539"
"MED-Audiologists","422","113","309"
"MED-Nurse Practitioners, And Nurse Midwives","7220","338","6882"
"MED-Physicians","32228","17933","14295"
"MED-Surgeons","1579","1180","399"
"MED-Acupuncturists","722","175","547"
"MED-Dental Hygienists","5856","99","5757"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","287","20","267"
"MED-Clinical Laboratory Technologists And Technicians","10458","2886","7572"
"MED-Cardiovascular Technologists And Technicians","995","302","693"
"MED-Diagnostic Medical Sonographers","2153","416","1737"
"MED-Radiologic Technologists And Technicians","4792","995","3797"
"MED-Magnetic Resonance Imaging Technologists","956","367","589"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","408","65","343"
"MED-Emergency Medical Technicians","3794","2218","1576"
"MED-Paramedics","2335","1543","792"
"MED-Pharmacy Technicians","8926","2230","6696"
"MED-Psychiatric Technicians","1345","514","831"
"MED-Surgical Technologists","2292","420","1872"
"MED-Veterinary Technologists And Technicians","2920","195","2725"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","686","143","543"
"MED-Licensed Practical And Licensed Vocational Nurses","20451","2907","17544"
"MED-Medical Records Specialists","4401","220","4181"
"MED-Opticians, Dispensing","1538","508","1030"
"MED-Miscellaneous Health Technologists And Technicians","3519","1574","1945"
"MED-Other Healthcare Practitioners And Technical Occupations","2662","1091","1571"
"HLS-Home Health Aides","15913","1831","14082"
"HLS-Personal Care Aides","40757","8222","32535"
"HLS-Nursing Assistants","53039","6413","46626"
"HLS-Orderlies And Psychiatric Aides","2124","1133","991"
"HLS-Occupational Therapy Assistants And Aides","949","158","791"
"HLS-Physical Therapist Assistants And Aides","2423","571","1852"
"HLS-Massage Therapists","5368","1237","4131"
"HLS-Dental Assistants","8162","544","7618"
"HLS-Medical Assistants","14324","1077","13247"
"HLS-Medical Transcriptionists","729","171","558"
"HLS-Pharmacy Aides","1523","454","1069"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","998","223","775"
"HLS-Phlebotomists","4533","395","4138"
"HLS-Other Healthcare Support Workers","4849","1369","3480"
"PRT-First-Line Supervisors Of Correctional Officers","725","619","106"
"PRT-First-Line Supervisors Of Police And Detectives","3159","2930","229"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","1716","1701","15"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","1537","1256","281"
"PRT-Firefighters","12259","11948","311"
"PRT-Fire Inspectors","204","199","5"
"PRT-Bailiffs","730","587","143"
"PRT-Correctional Officers And Jailers","7962","6709","1253"
"PRT-Detectives And Criminal Investigators","2027","1407","620"
"PRT-Police Officers","19110","17204","1906"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","355","202","153"
"PRT-Animal Control Workers","312","94","218"
"PRT-Private Detectives And Investigators","2154","1456","698"
"PRT-Security Guards And Gambling Surveillance Officers","22636","17903","4733"
"PRT-Crossing Guards And Flaggers","1710","608","1102"
"PRT-Transportation Security Screeners","979","658","321"
"PRT-School Bus Monitors","1179","248","931"
"PRT-Other Protective Service Workers","9418","4365","5053"
"EAT-Chefs And Head Cooks","15765","12803","2962"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","10799","5072","5727"
"EAT-Cooks","56908","36937","19971"
"EAT-Food Preparation Workers","33617","14923","18694"
"EAT-Bartenders","13348","5207","8141"
"EAT-Fast Food And Counter Workers","23452","9116","14336"
"EAT-Waiters And Waitresses","60994","17145","43849"
"EAT-Food Servers, Nonrestaurant","5791","2063","3728"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","11654","6138","5516"
"EAT-Dishwashers","12528","10087","2441"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","10284","1280","9004"
"EAT-Food Preparation And Serving Related Workers, All Other","599","395","204"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","4315","2924","1391"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","5155","4681","474"
"CLN-Maids And Housekeeping Cleaners","38948","5917","33031"
"CLN-Janitors And Building Cleaners","68669","49580","19089"
"CLN-Pest Control Workers","1541","1505","36"
"CLN-Landscaping And Groundskeeping Workers","33429","30342","3087"
"CLN-Tree Trimmers And Pruners","2245","2207","38"
"CLN-Other Grounds Maintenance Workers","1255","994","261"
"PRS-Supervisors of Personal Care And Service Workers","2378","847","1531"
"PRS-Animal Trainers","1251","491","760"
"PRS-Animal Caretakers","8242","2287","5955"
"PRS-Gambling Services Workers","882","613","269"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","2075","1205","870"
"PRS-Other Entertainment Attendants And Related Workers","8724","5371","3353"
"PRS-Morticians, Undertakers, And Funeral Arrangers","901","641","260"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","670","616","54"
"PRS-Barbers","3013","2483","530"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","22972","2606","20366"
"PRS-Manicurists and Pedicurists","6921","951","5970"
"PRS-Skincare Specialists","2109","35","2074"
"PRS-Other Personal Appearance Workers","694","90","604"
"PRS-Baggage Porters, Bellhops, And Concierges","2167","1507","660"
"PRS-Tour And Travel Guides","3344","1166","2178"
"PRS-Childcare Workers","43624","4142","39482"
"PRS-Exercise Trainers And Group Fitness Instructors","10664","3853","6811"
"PRS-Recreation Workers","16429","6343","10086"
"PRS-Residential Advisors","6147","2452","3695"
"PRS-Personal Care And Service Workers, All Other","6201","2174","4027"
"SAL-First-Line Supervisors Of Retail Sales Workers","74450","42625","31825"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","32235","20729","11506"
"SAL-Cashiers","98599","28567","70032"
"SAL-Counter And Rental Clerks","3012","1493","1519"
"SAL-Parts Salespersons","1622","1561","61"
"SAL-Retail Salespersons","94307","43925","50382"
"SAL-Advertising Sales Agents","4335","2175","2160"
"SAL-Insurance Sales Agents","10528","6118","4410"
"SAL-Securities, Commodities, And Financial Services Sales Agents","9086","6600","2486"
"SAL-Travel Agents","2627","498","2129"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","22197","15335","6862"
"SAL-Sales Representatives, Wholesale And Manufacturing","32915","23754","9161"
"SAL-Models, Demonstrators, And Product Promoters","1046","295","751"
"SAL-Real Estate Brokers And Sales Agents","22213","9497","12716"
"SAL-Sales Engineers","1750","1627","123"
"SAL-Telemarketers","926","370","556"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","2714","1291","1423"
"SAL-Sales And Related Workers, All Other","8231","4228","4003"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","33363","11636","21727"
"OFF-Switchboard Operators, Including Answering Service","723","105","618"
"OFF-Telephone Operators","1056","238","818"
"OFF-Communications Equipment Operators, All Other","806","516","290"
"OFF-Bill And Account Collectors","2369","873","1496"
"OFF-Billing And Posting Clerks","13195","1512","11683"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","29667","5324","24343"
"OFF-Payroll And Timekeeping Clerks","4549","579","3970"
"OFF-Procurement Clerks","1035","582","453"
"OFF-Tellers","8836","1690","7146"
"OFF-Other Financial Clerks","5741","2726","3015"
"OFF-Court, Municipal, And License Clerks","1000","238","762"
"OFF-Credit Authorizers, Checkers, And Clerks","745","283","462"
"OFF-Customer Service Representatives","73065","25820","47245"
"OFF-Eligibility Interviewers, Government Programs","1310","302","1008"
"OFF-File Clerks","6863","1845","5018"
"OFF-Hotel, Motel, And Resort Desk Clerks","2462","870","1592"
"OFF-Interviewers, Except Eligibility And Loan","3172","455","2717"
"OFF-Library Assistants, Clerical","4100","801","3299"
"OFF-Loan Interviewers And Clerks","1724","520","1204"
"OFF-New Accounts Clerks","519","246","273"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","1380","278","1102"
"OFF-Receptionists And Information Clerks","31278","3168","28110"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","2571","1049","1522"
"OFF-Correspondence Clerks And Order Clerks","3138","1309","1829"
"OFF-Other Information And Records Clerks","4328","963","3365"
"OFF-Cargo And Freight Agents","323","227","96"
"OFF-Couriers And Messengers","6950","5594","1356"
"OFF-Public Safety Telecommunicators","1833","779","1054"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","4235","2405","1830"
"OFF-Meter Readers, Utilities","316","254","62"
"OFF-Postal Service Clerks","4141","2168","1973"
"OFF-Postal Service Mail Carriers","9700","7575","2125"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","2616","1462","1154"
"OFF-Production, Planning, And Expediting Clerks","8327","3186","5141"
"OFF-Shipping, Receiving, And Inventory Clerks","14505","10691","3814"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","1572","875","697"
"OFF-Executive Secretaries And Executive Administrative Assistants","7419","455","6964"
"OFF-Legal Secretaries And Administrative Assistants","1794","64","1730"
"OFF-Medical Secretaries And Administrative Assistants","3424","171","3253"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","75904","4658","71246"
"OFF-Data Entry Keyers","7936","2303","5633"
"OFF-Word Processors And Typists","6841","1218","5623"
"OFF-Insurance Claims And Policy Processing Clerks","8038","1882","6156"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","2611","1567","1044"
"OFF-Office Clerks, General","38025","8336","29689"
"OFF-Office Machine Operators, Except Computer","1063","605","458"
"OFF-Proofreaders And Copy Markers","600","104","496"
"OFF-Statistical Assistants","775","490","285"
"OFF-Other Office And Administrative Support Workers","17276","3734","13542"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","408","242","166"
"FFF-Agricultural Inspectors","15","15","0"
"FFF-Graders And Sorters, Agricultural Products","880","569","311"
"FFF-Other Agricultural Workers","6940","4083","2857"
"FFF-Fishing And Hunting Workers","2707","2619","88"
"FFF-Forest And Conservation Workers","525","320","205"
"FFF-Logging Workers","520","498","22"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","16528","16063","465"
"CON-Boilermakers","414","365","49"
"CON-Carpenters","38730","38127","603"
"CON-Carpet, Floor, And Tile Installers And Finishers","2862","2782","80"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","389","389","0"
"CON-Construction Laborers","41772","40609","1163"
"CON-Construction Equipment Operators","7216","6967","249"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","1829","1829","0"
"CON-Electricians","22168","21954","214"
"CON-Glaziers","875","875","0"
"CON-Insulation Workers","1491","1491","0"
"CON-Painters And Paperhangers","18210","17078","1132"
"CON-Pipelayers","1129","1117","12"
"CON-Plumbers, Pipefitters, And Steamfitters","14506","14337","169"
"CON-Plasterers And Stucco Masons","1428","1428","0"
"CON-Roofers","4460","4460","0"
"CON-Sheet Metal Workers","2924","2795","129"
"CON-Structural Iron And Steel Workers","1046","943","103"
"CON-Solar Photovoltaic Installers","311","311","0"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","5002","4958","44"
"CON-Helpers, Construction Trades","1048","866","182"
"CON-Construction And Building Inspectors","2101","1820","281"
"CON-Elevator And Escalator Installers And Repairers","687","664","23"
"CON-Fence Erectors","1236","1236","0"
"CON-Hazardous Materials Removal Workers","835","772","63"
"CON-Highway Maintenance Workers","1928","1857","71"
"CON-Rail-Track Laying And Maintenance Equipment Operators","259","259","0"
"CON-Other Construction And Related Workers","885","874","11"
"EXT-Surface Mining Machine Operators And Earth Drillers","645","628","17"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","264","264","0"
"EXT-Underground Mining Machine Operators","173","150","23"
"EXT-Other Extraction Workers","271","257","14"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","23","23","0"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","4379","4140","239"
"RPR-Computer, Automated Teller, And Office Machine Repairers","4392","3821","571"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","3468","3117","351"
"RPR-Avionics Technicians","251","251","0"
"RPR-Electric Motor, Power Tool, And Related Repairers","366","357","9"
"RPR-Audiovisual Equipment Installers And Repairers","493","431","62"
"RPR-Security And Fire Alarm Systems Installers","1461","1432","29"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","307","307","0"
"RPR-Aircraft Mechanics And Service Technicians","1779","1756","23"
"RPR-Automotive Body And Related Repairers","3086","3037","49"
"RPR-Automotive Glass Installers And Repairers","364","364","0"
"RPR-Automotive Service Technicians And Mechanics","17877","17437","440"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","5453","5453","0"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","3203","3158","45"
"RPR-Small Engine Mechanics","876","876","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","1014","999","15"
"RPR-Control And Valve Installers And Repairers","437","371","66"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","9692","9567","125"
"RPR-Home Appliance Repairers","963","915","48"
"RPR-Maintenance Workers, Machinery","192","192","0"
"RPR-Millwrights","552","552","0"
"RPR-Industrial And Refractory Machinery Mechanics","6540","6312","228"
"RPR-Electrical Power-Line Installers And Repairers","2195","2167","28"
"RPR-Telecommunications Line Installers And Repairers","2433","2298","135"
"RPR-Precision Instrument And Equipment Repairers","1590","1373","217"
"RPR-Maintenance And Repair Workers, General","10593","10254","339"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","263","224","39"
"RPR-Locksmiths And Safe Repairers","454","454","0"
"RPR-Riggers","173","173","0"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","187","187","0"
"RPR-Other Installation, Maintenance, And Repair Workers","5277","4952","325"
"PRD-First-Line Supervisors Of Production And Operating Workers","15304","11543","3761"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","4186","2021","2165"
"PRD-Engine And Other Machine Assemblers","141","141","0"
"PRD-Structural Metal Fabricators And Fitters","452","423","29"
"PRD-Other Assemblers and Fabricators","19126","10523","8603"
"PRD-Bakers","7669","3339","4330"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","4452","3836","616"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","56","44","12"
"PRD-Food Batchmakers","1901","766","1135"
"PRD-Food Cooking Machine Operators And Tenders","473","290","183"
"PRD-Food Processing Workers, All Other","2110","1529","581"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","505","433","72"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","855","733","122"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","632","405","227"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","250","137","113"
"PRD-Machinists","9934","9777","157"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","285","285","0"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","793","641","152"
"PRD-Tool And Die Makers","1130","1094","36"
"PRD-Welding, Soldering, And Brazing Workers","7124","6364","760"
"PRD-Other Metal Workers And Plastic Workers","8631","7451","1180"
"PRD-Prepress Technicians And Workers","909","575","334"
"PRD-Printing Press Operators","4514","3579","935"
"PRD-Print Binding And Finishing Workers","513","355","158"
"PRD-Laundry And Dry-Cleaning Workers","4675","1558","3117"
"PRD-Pressers, Textile, Garment, And Related Materials","718","365","353"
"PRD-Sewing Machine Operators","3826","900","2926"
"PRD-Shoe And Leather Workers","446","330","116"
"PRD-Tailors, Dressmakers, And Sewers","1901","370","1531"
"PRD-Textile Machine Setters, Operators, And Tenders","381","148","233"
"PRD-Upholsterers","302","235","67"
"PRD-Other Textile, Apparel, And Furnishings Workers","175","119","56"
"PRD-Cabinetmakers And Bench Carpenters","1144","1114","30"
"PRD-Furniture Finishers","247","201","46"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","160","160","0"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","294","211","83"
"PRD-Other Woodworkers","746","663","83"
"PRD-Power Plant Operators, Distributors, And Dispatchers","741","686","55"
"PRD-Stationary Engineers And Boiler Operators","2114","2026","88"
"PRD-Water And Wastewater Treatment Plant And System Operators","2190","2018","172"
"PRD-Miscellaneous Plant And System Operators","290","245","45"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","804","548","256"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1923","1773","150"
"PRD-Cutting Workers","1311","987","324"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","680","621","59"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","146","146","0"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","18755","11386","7369"
"PRD-Jewelers And Precious Stone And Metal Workers","1464","704","760"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","1982","977","1005"
"PRD-Packaging And Filling Machine Operators And Tenders","4352","1670","2682"
"PRD-Painting Workers","2492","2187","305"
